"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 23 12:59:25 PST 2021","Tue Nov 23 12:59:35 PST 2021","9162","Gradle suite","Gradle test","LoginTest","LoginTest","video_test","video_test",""
"passed","Tue Nov 23 12:59:12 PST 2021","Tue Nov 23 12:59:25 PST 2021","13529","Gradle suite","Gradle test","LoginTest","LoginTest","imageVerify","imageVerify",""
